Date,Open,High,Low,Close,Adj Close,Volume
2014-01-16,193.576004,215.910995,188.363998,201.020996,201.020996,17008359
2014-01-17,201.020996,204.744003,192.830994,198.787003,198.787003,1184787
2014-01-20,193.576004,201.020996,193.576004,193.576004,193.576004,583999
2014-01-21,198.042999,200.276001,197.298004,199.531998,199.531998,332428
2014-01-22,195.809006,196.554001,194.320007,195.809006,195.809006,285687
2014-01-23,198.787003,198.787003,194.320007,196.554001,196.554001,56815
2014-01-24,195.809006,196.554001,194.320007,195.809006,195.809006,114839
2014-01-27,194.320007,198.042999,188.363998,198.042999,198.042999,388034
2014-01-28,192.830994,199.531998,192.830994,199.531998,199.531998,112824
2014-01-29,199.531998,199.531998,193.576004,199.531998,199.531998,67426
2014-01-30,198.787003,199.531998,198.787003,199.531998,199.531998,32907
2014-02-03,199.531998,199.531998,196.554001,199.531998,199.531998,22162
2014-02-04,202.509995,202.509995,197.298004,202.509995,202.509995,484472
2014-02-05,201.020996,201.020996,199.531998,199.531998,199.531998,39085
2014-02-06,198.787003,200.276001,198.787003,200.276001,200.276001,58561
2014-02-07,200.276001,200.276001,200.276001,200.276001,200.276001,0
2014-02-10,198.042999,201.020996,195.809006,198.787003,198.787003,204426
2014-02-11,198.787003,202.509995,195.809006,195.809006,195.809006,121152
2014-02-12,193.576004,198.787003,189.852997,198.787003,198.787003,21087
2014-02-13,198.787003,203.255005,198.787003,200.276001,200.276001,44995
2014-02-14,201.766006,201.766006,195.809006,201.766006,201.766006,15178
2014-02-17,199.531998,199.531998,197.298004,197.298004,197.298004,24311
2014-02-18,186.130997,186.130997,186.130997,186.130997,186.130997,5373
2014-02-19,186.130997,201.020996,178.684998,178.684998,178.684998,1015551
2014-02-20,179.429993,193.576004,178.684998,178.684998,178.684998,1457848
2014-02-21,182.408005,184.641006,179.429993,180.173996,180.173996,11014
2014-02-24,186.130997,189.852997,186.130997,186.130997,186.130997,54935
2014-02-25,189.852997,189.852997,189.852997,189.852997,189.852997,24177
2014-02-26,186.130997,186.130997,186.130997,186.130997,186.130997,4029
2014-02-27,186.875000,186.875000,186.875000,186.875000,186.875000,672
2014-02-28,186.875000,186.875000,186.875000,186.875000,186.875000,6716
2014-03-03,178.684998,178.684998,178.684998,178.684998,178.684998,13431
2014-03-04,179.429993,179.429993,179.429993,179.429993,179.429993,269
2014-03-05,179.429993,179.429993,179.429993,179.429993,179.429993,940
2014-03-06,191.341995,191.341995,179.429993,179.429993,179.429993,3626
2014-03-07,179.429993,179.429993,179.429993,179.429993,179.429993,134
2014-03-10,179.429993,179.429993,179.429993,179.429993,179.429993,1343
2014-03-11,179.429993,179.429993,179.429993,179.429993,179.429993,0
2014-03-12,179.429993,192.087006,179.429993,192.087006,192.087006,5104
2014-03-13,192.087006,192.087006,192.087006,192.087006,192.087006,0
2014-03-14,179.429993,193.576004,179.429993,193.576004,193.576004,33713
2014-03-17,196.554001,196.554001,193.576004,195.065002,195.065002,228872
2014-03-18,199.531998,199.531998,197.298004,197.298004,197.298004,81529
2014-03-19,199.531998,199.531998,195.065002,195.065002,195.065002,403
2014-03-20,189.852997,195.065002,189.852997,195.065002,195.065002,35459
2014-03-21,195.065002,197.298004,195.065002,197.298004,197.298004,28072
2014-03-24,196.554001,196.554001,196.554001,196.554001,196.554001,14103
2014-03-25,198.787003,198.787003,198.787003,198.787003,198.787003,1343
2014-03-26,197.298004,197.298004,197.298004,197.298004,197.298004,40294
2014-03-27,193.576004,193.576004,193.576004,193.576004,193.576004,1343
2014-03-28,193.576004,193.576004,193.576004,193.576004,193.576004,0
2014-04-01,193.576004,193.576004,193.576004,193.576004,193.576004,0
2014-04-02,197.298004,197.298004,197.298004,197.298004,197.298004,672
2014-04-03,197.298004,197.298004,182.408005,182.408005,182.408005,63934
2014-04-04,184.641006,193.576004,184.641006,193.576004,193.576004,269
2014-04-07,192.830994,192.830994,192.830994,192.830994,192.830994,26863
2014-04-08,192.830994,193.576004,192.830994,192.830994,192.830994,17461
2014-04-09,192.830994,192.830994,192.830994,192.830994,192.830994,0
2014-04-10,197.298004,197.298004,192.830994,193.576004,193.576004,14237
2014-04-11,193.576004,193.576004,193.576004,193.576004,193.576004,6850
2014-04-14,192.830994,193.576004,180.919006,180.919006,180.919006,29549
2014-04-15,192.830994,193.576004,192.830994,193.576004,193.576004,269
2014-04-16,179.429993,186.130997,179.429993,186.130997,186.130997,806
2014-04-17,179.429993,186.130997,179.429993,186.130997,186.130997,81663
2014-04-21,189.108994,189.108994,180.919006,189.108994,189.108994,1612
2014-04-22,189.108994,189.108994,189.108994,189.108994,189.108994,0
2014-04-23,189.108994,189.108994,189.108994,189.108994,189.108994,0
2014-04-24,189.108994,189.108994,188.363998,188.363998,188.363998,20147
2014-04-25,179.429993,188.363998,179.429993,188.363998,188.363998,1477
2014-04-28,178.684998,186.130997,176.451996,186.130997,186.130997,19879
2014-04-29,192.087006,192.087006,182.408005,182.408005,182.408005,70246
2014-04-30,182.408005,186.130997,182.408005,186.130997,186.130997,161312
2014-05-02,182.408005,182.408005,182.408005,182.408005,182.408005,70515
2014-05-05,197.298004,197.298004,197.298004,197.298004,197.298004,134
2014-05-06,179.429993,195.809006,179.429993,195.809006,195.809006,403
2014-05-07,195.809006,195.809006,195.809006,195.809006,195.809006,12223
2014-05-08,195.809006,195.809006,195.809006,195.809006,195.809006,0
2014-05-09,182.408005,195.809006,182.408005,195.809006,195.809006,269
2014-05-12,195.065002,195.065002,195.065002,195.065002,195.065002,403
2014-05-13,195.809006,196.554001,183.151993,196.554001,196.554001,23236
2014-05-14,193.576004,193.576004,193.576004,193.576004,193.576004,1075
